Category,Sub-Category,Quest Name/Concept,Trigger/When,Quest Giver NPC,Season,Objective,Difficulty Tier,Reward Type,Reward Details,Consequence NPC(s),Consequence Type,Consequence Details,Mod support,Deadline (days),Notes,Effort,Constraints,Status
Mining,Resource,Bar Delivery,Daily board,Clint,Any,Deliver X metal bars,Intermediate,Gold + Item,GoldIntermediateBase + geode/gem,None,None,,Partially - modded gems as reward,DeadlineShort,,ItemDeliveryQuest for metal bars to Clint. Reward gold + random geode/gem from inventory add. Low.,Cooldown=5d; OnePerGiver,Implemented
Farming,Crop Delivery,Basic Crop Delivery,Daily board,Any,Any,Deliver X of a seasonal crop (any quality),Beginner (Skill 0-3),Gold,Scales with RewardMultiplierAboveSell,None,None,,Yes - picks from all Data/Crops for current season,DeadlineShort,Vanilla-style but with modded crops,Already implemented by GenerateFarmingQuest in scaffold; reads Data/Crops (modded inclusive) and emits ItemDeliveryQuest. Low.,Cooldown=7d,Implemented
Mining,Combat,Basic Slime Clearing,Daily board,Adventurer's Guild,Any,Slay X slimes in the mines,Beginner,Gold,GoldBeginnerBase,None,None,,No,DeadlineShort,Can be any color slime,Vanilla SlayMonsterQuest with monsterType=Slime. Trivial. Low.,Cooldown=7d,Implemented
Seasonal,Summer,Beach Cleanup,Daily board,Elliott/Willy/Dylan (East Scarp),Summer,Collect beach foragables from the beach,Beginner,Friendship,Friendship with quest giver,None,None,,Yes - modded beach forage,DeadlineShort,,"ItemDeliveryQuest for Beach forage (shells, driftwood, seaweed). Filter beach foragable list. Low.",Season=Summer; Cooldown=7d; OnePerGiver,Implemented
Social,Check-in,Check on George,Daily board,Evelyn,Any,Talk to George and report back to Evelyn,Beginner,Friendship,FriendshipMid each,None,None,,No,DeadlineShort,"Simple social quest. Gift george a loved/liked item + talk to him, then talk to evelyn to complete the quest.",Vanilla SocializeQuest (talk to George; report to Evelyn). Friendship rewards via Quest.questComplete. Low.,Cooldown=21d; OnePerGiver,Implemented (7a multistep AdventureQuest)
Cooking,Craving a meal,Craving <dish>,Daily board,Any,Any,Deliver requested dish,Intermediate,Friendship + Dish,Friendship + a random dish,None,None,,Yes - modded dishes/npcs,DeadlineShort,Dish needs to be liked by quest giver,Daily board ItemDeliveryQuest. Pick random met human NPC + random dish they Love/Like from Data/NPCGiftTastes (covers modded NPCs + dishes). Already partly stubbed in GenerateCookingQuest. Low-Med.,Cooldown=2d,Implemented
Social,Social,Elliott's Poem Inspiration,Periodic,Elliott,Any,Bring Elliott a flower or gem for poetic inspiration,Beginner,Friendship,FriendshipBasic Elliott friendship,None,None,,Yes,DeadlineShort,,ItemDeliveryQuest for any Flower-category or Mineral-category item to Elliott. Low.,Cooldown=7d; OnePerGiver,Implemented
Animal,Ongoing,Hay Supply Run,Periodic (monthly?),Marnie,Any,Deliver Hay (scales with # of animals owned),Varies,Gold,Scales with amount,None,None,,No,DeadlineLong,"Scales with farm size. Disable Marnie selling hay while this quest is active, so player HAS to collect the hay themselves.","Periodic ItemDeliveryQuest posted on Season Day 1. Quantity = HaySupplyBaseQty * (animalCount / threshold), reward scales linearly. Slots into existing QuestBoardManager generator. Low.",Cooldown=28d; OnePerGiver,Implemented
Seasonal,Spring,Spring Tea,Daily board,Any,Spring,Ship some spring flowers,Beginner,Friendship,FriendshipBasic with questgiver,None,None,,Yes,DeadlineShort,,Shipping-tracked Quest for spring flowers (Tulip/Blue Jazz/etc + modded). Counts deliveries to Farm.shippingBin at day-end. Low.,Season=Spring; Cooldown=3d,Implemented
Foraging,Basic Gather,Seasonal Foraging,Daily board,Any,Any,Gather and ship X seasonal forage items,Beginner,Gold,GoldBeginnerBase range (100-200g),None,None,,Yes - modded forage,DeadlineShort,,ItemDeliveryQuest pulling from current-season Data/Locations forage list (vanilla + modded locations). Low.,Cooldown=2d,Implemented
Fishing,Basic Catch,Simple Fishing Request,Daily board,Any,Any,Catch X common fish,Beginner,Gold,Scales with RewardMultiplierAboveSell,None,None,,Yes - picks from Data/Fish,DeadlineShort,Give a clue about where the fish spawns.,Vanilla FishingQuest covers this; existing GenerateFishingQuest emits it. Append location hint pulled from Data/Fish location field to description. Low.,Cooldown=2d,Implemented
